fecha;instruccion;tipo;robot_id
2026-06-05 08:43:16;Subiendo con pieza agarrada;Movimiento;16
2026-06-05 08:43:15;Cerrando pinza para agarrar pieza;Pinza;16
2026-06-05 08:43:14;Posicionando agarrar pieza;Movimiento;16
2026-06-05 08:43:13;Bajando para agarrar pieza;Movimiento;16
2026-06-05 08:43:11;Ejecutando bajar a pieza;Movimiento;16
2026-06-05 08:43:08;Moviendo a posición de agarre;Movimiento;16
2026-06-05 08:43:05;Moviendo a posición inicial para tomar pieza;Movimiento;16
2026-06-05 08:43:00;Abriendo pinza para tomar pieza;Pinza;16
2026-06-05 08:42:59;Subiendo después de paletizar;Movimiento;16
2026-06-05 08:42:56;Abriendo pinza para soltar pieza paletizada;Pinza;16
2026-06-05 08:42:55;Dejando la pieza 1 en la posición de paletizado;Movimiento;16
2026-06-05 08:42:53;Subiendo con pieza para paletizar;Movimiento;16
2026-06-05 08:42:51;Cerrando pinza para agarrar pieza para paletizar;Pinza;16
2026-06-05 08:42:50;Bajando para agarrar pieza para paletizar;Movimiento;16
2026-06-05 08:42:48;Moviendo a posición de ataque para paletizar;Movimiento;16
2026-06-05 08:42:45;Pieza detectada en sensor 1, deteniendo cinta para paletizar;Cinta;16
2026-06-05 08:42:38;Corriendo cinta después de soltar pieza;Cinta;16
2026-06-05 08:42:38;Subiendo un poco después de soltar pieza en cinta;Movimiento;16
2026-06-05 08:42:36;Abriendo pinza para soltar pieza en cinta;Pinza;16
2026-06-05 08:42:35;Moviendo a posición para soltar pieza en cinta;Movimiento;16
2026-06-05 08:42:34;Subiendo con pieza agarrada;Movimiento;16
2026-06-05 08:42:32;Cerrando pinza para agarrar pieza;Pinza;16
2026-06-05 08:42:31;Posicionando agarrar pieza;Movimiento;16
2026-06-05 08:42:30;Bajando para agarrar pieza;Movimiento;16
2026-06-05 08:42:28;Ejecutando bajar a pieza;Movimiento;16
2026-06-05 08:42:25;Moviendo a posición de agarre;Movimiento;16
2026-06-05 08:42:22;Moviendo a posición inicial para tomar pieza;Movimiento;16
